A	Brazil	3	1	Goalie	31	9	Botafogo   	Jefferson	0
A	Brazil	3	12	Goalie	34	80	Toronto FC  	Julio Cesar	0
A	Brazil	3	22	Goalie	31	6	Atletico Mineiro  	Victor	0
A	Brazil	3	2	Defender	31	75	Barcelona   	Dani Alves	0
A	Brazil	3	13	Defender	30	12	Bayern Munich  	Dante	0
A	Brazil	3	4	Defender	27	36	Chelsea   	David Luiz	0
A	Brazil	3	15	Defender	27	5	Napoli   	Henrique	0
A	Brazil	3	23	Defender	32	72	Roma   	Maicon	0
A	Brazil	3	6	Defender	26	31	Real Madrid  	Marcelo	0
A	Brazil	3	14	Defender	32	9	Paris Saint-Germain  	Maxwell	0
A	Brazil	3	3	Defender	29	46	Paris Saint-Germain  	Thiago Silva 	1
A	Brazil	3	20	Midfielder	21	11	Shakhtar Donetsk  	Bernard	0
A	Brazil	3	5	Midfielder	29	7	Manchester City  	Fernandinho	0
A	Brazil	3	18	Midfielder	29	24	Internazionale   	Hernanes	0
A	Brazil	3	17	Midfielder	26	19	VfL Wolfsburg  	Luiz Gustavo	0
A	Brazil	3	11	Midfielder	22	31	Chelsea   	Oscar	0
A	Brazil	3	8	Midfielder	25	26	Tottenham Hotspur  	Paulinho	0
A	Brazil	3	16	Midfielder	27	42	Chelsea   	Ramires	0
A	Brazil	3	19	Midfielder	25	7	Chelsea   	Willian	0
A	Brazil	3	9	Forward	30	33	Fluminense   	Fred	0
A	Brazil	3	7	Forward	27	35	Zenit Saint Petersburg 	Hulk	0
A	Brazil	3	21	Forward	27	17	Atletico Mineiro  	Jô	0
A	Brazil	3	10	Forward	22	49	Barcelona   	Neymar	0
