A	Cameroon	56	16	Goalie	31	9	Konyaspor   	Charles Itandje	0
A	Cameroon	56	1	Goalie	22	2	Coton Sport  	Loec Feudjou	0
A	Cameroon	56	23	Goalie	24	3	Fethiyespor   	Sammy N'Djock	0
A	Cameroon	56	22	Defender	26	10	Granada   	Allan Nyom	0
A	Cameroon	56	14	Defender	28	31	Galatasaray   	Aurelien Chedjou	0
A	Cameroon	56	2	Defender	30	22	Queens Park Rangers 	Benoît Assou-Ekotto	0
A	Cameroon	56	4	Defender	21	3	Coton Sport  	Cedric Djeugoue	0
A	Cameroon	56	5	Defender	28	16	Besiktas   	Dany Nounkeu	0
A	Cameroon	56	12	Defender	30	31	Lyon   	Henri Bedimo	0
A	Cameroon	56	3	Defender	24	48	Marseille   	Nicolas N'Koulou	0
A	Cameroon	56	6	Midfielder	26	47	Barcelona   	Alex Song	0
A	Cameroon	56	20	Midfielder	21	9	Lens   	Edgar Salli	0
A	Cameroon	56	18	Midfielder	28	38	Antalyaspor   	Eyong Enoh	0
A	Cameroon	56	11	Midfielder	31	66	Rennes   	Jean Makoun	0
A	Cameroon	56	21	Midfielder	22	23	Schalke 4  	Joel Matip	0
A	Cameroon	56	7	Midfielder	28	40	Bordeaux   	Landry N'Guemo	0
A	Cameroon	56	17	Midfielder	28	49	Sevilla   	Stephane Mbia	0
A	Cameroon	56	8	Forward	25	17	Nancy   	Benjamin Moukandjo	0
A	Cameroon	56	19	Forward	18	8	Zulte Waregem  	Fabrice Olinga	0
A	Cameroon	56	13	Forward	25	26	Mainz 5  	Maxim Choupo-Moting	0
A	Cameroon	56	15	Forward	32	56	Fenerbahce   	Pierre Webo	0
A	Cameroon	56	9	Forward	33	117	Chelsea   	Samuel Eto'o 	c		0
A	Cameroon	56	10	Forward	22	24	Lorient   	Vincent Aboubakar	0
